IdLugarSalida,Lugar Salida,IdTranspSalidad,Transporte Internacional de Salida,FechaSalida,IdFecSalida,FechaEntrada,IdFecEntrada,IdNacionalidad,Pais,IdDeptoResidencia,Departamento,IdMotivo,Motivo,IdOcupacion,Ocupacion,IdNivelEstudio,Estudio,IdDestino,Destino,IdAlojamiento,Alojamiento,IdLugarIngreso,Lugar Ingreso,IdTranspIngreso,Transporte Internacional de Ingreso,IdTranspLocal,Trasporte Local,Estadia,Gente,GastoTotal,GastoAlojamiento,GastoAlimentacion,GastoTransporteInternac,GatoTransporteLocal,GastoCultural,GastoTours,GastoCompras,GastoResto,Coef,CoefTot
3,Aeropuerto de Carrasco,1,Aereo,2017-11-08,13826,2017-11-18,13836,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",6.0,Terciaria completa,20,Brasil,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,10,2,1721.44,788.82,437.42,278.56,213.29,205.51,0.0,0.0,76.4,134.27,268.53
10,Salto,2,Terrestre Auto,2024-12-08,16413,2024-12-16,16421,1,Uruguay,11,Saqn Jose,1,"Ocio, Recreo, Vacaciones",24,Trabajador Independiente,,,30,Paraguay,1,Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,8,3,3149.32,550.0,300.0,0.0,100.0,313.26,0.0,500.0,1386.06,201.71,605.12
7,Fray Bentos,3,Terrestre Bus,2017-04-17,13621,2017-04-19,13623,1,Uruguay,12,Rio Negro,3,Trabajo / Profesion,11,"Patron, Com, Ind, Prod Agrop",7.0,Otros,10,Argentina,1,Hotel,7,Fray Bentos,3,Terrestre Bus,0,Sin Datos,2,1,268.0,120.0,48.0,50.0,30.0,0.0,0.0,0.0,70.0,107.1,107.1
8,Paysandú,2,Terrestre Auto,2023-07-03,15889,2023-07-10,15896,10,Argentina,21,Montevideo,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,10,Argentina,5,Vivienda Arrendada,8,Paysandú,2,Terrestre Auto,1,Auto propio,7,4,1500.0,513.47,486.05,0.0,0.0,179.72,0.0,320.76,0.0,122.44,489.77
7,Fray Bentos,2,Terrestre Auto,2024-12-23,16428,2024-12-29,16434,1,Uruguay,12,Rio Negro,2,Visita familiares / amigos,25,Trabajador dependiente,,,10,Argentina,1,Hotel,7,Fray Bentos,2,Terrestre Auto,1,Auto propio,6,2,1413.33,400.0,250.0,0.0,40.0,131.44,0.0,200.0,391.89,334.55,669.11
8,Paysandú,2,Terrestre Auto,2018-11-16,14199,2018-11-19,14202,1,Uruguay,61,Paysandu,2,Visita familiares / amigos,16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,8,Paysandú,2,Terrestre Auto,1,Auto propio,3,1,400.0,0.0,100.0,0.0,67.3,122.7,0.0,110.0,0.0,446.84,446.84
10,Salto,6,Otros,2024-03-05,16135,2024-03-08,16138,1,Uruguay,60,Salto,2,Visita familiares / amigos,25,Trabajador dependiente,,,10,Argentina,6,Vivienda Familiares / Amigos,10,Salto,2,Terrestre Auto,1,Auto propio,3,2,228.3,0.0,88.79,0.0,12.68,30.77,0.0,54.92,41.14,330.11,660.22
3,Aeropuerto de Carrasco,1,Aereo,2017-02-03,13548,2017-02-23,13568,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",1,"Jubilado, Pensionista",7.0,Otros,40,Europa,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,20,2,8170.0,5097.6,1200.0,6136.0,377.6,136.0,0.0,1170.0,188.8,125.15,250.3
1,Colonia,5,Maritimo - Fluvial,2025-01-10,16446,2025-01-17,16453,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,25,Trabajador dependiente,,,10,Argentina,6,Vivienda Familiares / Amigos,1,Colonia,5,Maritimo - Fluvial,4,Auto familiares / amigos,7,2,1000.0,0.0,349.77,239.85,350.23,0.0,0.0,300.0,0.0,235.73,471.46
2,Puerto de montevideo,5,Maritimo - Fluvial,2017-07-07,13702,2017-07-10,13705,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",5.0,Terciaria incompleta,10,Argentina,1,Hotel,2,Puerto de montevideo,5,Maritimo - Fluvial,0,Sin Datos,3,2,660.0,300.0,138.0,58.0,66.0,114.0,0.0,0.0,42.0,107.97,215.95
3,Aeropuerto de Carrasco,1,Aereo,2017-05-24,13658,2017-06-01,13666,1,Uruguay,20,Canelones,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,33,Centro y Norte America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,8,2,4787.0,914.45,270.95,2013.0,67.74,0.0,0.0,3500.0,33.87,113.24,226.48
7,Fray Bentos,3,Terrestre Bus,2023-05-11,15836,2023-05-15,15840,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,1,Hotel,7,Fray Bentos,3,Terrestre Bus,3,Taxi - Bus,4,2,817.84,216.71,0.0,134.79,235.1,131.44,0.0,234.59,0.0,237.38,474.75
7,Fray Bentos,2,Terrestre Auto,2024-08-17,16300,2024-08-21,16304,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,27,Profesional dependiente,,,10,Argentina,6,Vivienda Familiares / Amigos,7,Fray Bentos,2,Terrestre Auto,1,Auto propio,4,4,800.0,0.0,207.84,0.0,217.64,134.49,0.0,240.03,0.0,241.92,967.67
3,Aeropuerto de Carrasco,1,Aereo,2017-10-03,13790,2017-10-07,13794,1,Uruguay,21,Montevideo,3,Trabajo / Profesion,11,"Patron, Com, Ind, Prod Agrop",6.0,Terciaria completa,32,Resto Sud America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,4,1,730.22,556.36,150.68,69.78,0.0,0.0,0.0,0.0,23.18,106.1,106.1
10,Salto,2,Terrestre Auto,2017-08-01,13727,2017-08-11,13737,1,Uruguay,60,Salto,9,Estudios,16,"Empl. Adm, Cajero, Vendedor",5.0,Terciaria incompleta,10,Argentina,6,Vivienda Familiares / Amigos,10,Salto,2,Terrestre Auto,0,Sin Datos,10,1,348.75,0.0,209.25,0.0,69.75,0.0,0.0,28.72,41.03,112.18,112.18
8,Paysandú,2,Terrestre Auto,2023-02-21,15757,2023-02-27,15763,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",11,"Patron, Com, Ind, Prod Agrop",6.0,Terciaria completa,10,Argentina,1,Hotel,8,Paysandú,2,Terrestre Auto,1,Auto propio,6,4,2733.8,650.69,610.07,0.0,726.76,264.97,0.0,481.31,0.0,406.25,1625.01
3,Aeropuerto de Carrasco,1,Aereo,2017-03-24,13597,2017-03-29,13602,1,Uruguay,42,Florida,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,10,Argentina,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,5,2,400.0,160.32,100.2,0.0,48.1,91.38,0.0,0.0,0.0,116.24,232.48
3,Aeropuerto de Carrasco,1,Aereo,2019-10-14,14531,2019-10-22,14539,1,Uruguay,61,Paysandu,1,"Ocio, Recreo, Vacaciones",1,"Jubilado, Pensionista",6.0,Terciaria completa,33,Centro y Norte America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,6,Otros,8,4,1162.44,0.0,0.0,0.0,0.0,0.0,0.0,1162.44,0.0,205.41,821.62
4,Chuy,3,Terrestre Bus,2024-06-26,16248,2024-07-02,16254,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",1,"Jubilado, Pensionista",,,20,Brasil,1,Hotel,4,Chuy,3,Terrestre Bus,3,Taxi - Bus,6,3,1600.0,460.0,1140.0,666.0,0.0,0.0,0.0,0.0,0.0,52.32,156.95
10,Salto,2,Terrestre Auto,2023-10-09,15987,2023-10-13,15991,1,Uruguay,53,Rivera,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,1,Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,4,2,1012.18,217.68,203.13,0.0,225.35,131.44,0.0,234.59,0.0,504.47,1008.95
3,Aeropuerto de Carrasco,1,Aereo,2023-09-13,15961,2023-09-20,15968,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,33,Centro y Norte America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,7,2,3577.96,683.03,202.38,1464.0,50.59,0.0,86.53,2555.43,0.0,225.42,450.83
10,Salto,2,Terrestre Auto,2023-12-23,16062,2023-12-30,16069,1,Uruguay,60,Salto,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,10,Argentina,5,Vivienda Arrendada,10,Salto,2,Terrestre Auto,1,Auto propio,7,2,1552.56,450.0,300.0,0.0,100.0,131.44,0.0,150.0,421.12,307.95,615.9
